Number,Standard,Outer_r,h_port,h_total,pol,tor,theta,phi
1,DN60,0.0575,0.056,0.21,0,6.021385919,6.021385919,1.570796327
2,DN60,0.0575,0.056,0.074,0,5.759586532,5.759586532,1.570796327
3,DN40,0.035,0.044,0.057,1.570796327,5.235987756,5.235987756,0
3,DN60,0.0575,0.056,0.21,0,5.235987756,5.235987756,1.570796327
4,DN40,0.035,0.044,0.21,1.217764033,4.450589593,4.450589593,0
4,DN60,0.0575,0.056,0.21,0.1602595824,4.450589593,4.450589593,1.570796327
4,DN40,0.035,0.044,0.21,5.065421274,4.450589593,4.450589593,3.141592654
5,DN40,0.035,0.044,0.057,0.8785112537,3.926990817,3.926990817,0
5,DN40,0.035,0.054,0.21,0,3.926990817,3.926990817,1.570796327
5,DN40,0.035,0.044,0.057,5.404674053,3.926990817,3.926990817,3.141592654
6,DN40,0.035,0.044,0.21,1.517579723,3.403392041,3.403392041,0
6,DN40,0.035,0.054,0.21,0,3.403392041,3.403392041,1.570796327
6,DN40,0.035,0.044,0.21,4.765605584,3.403392041,3.403392041,3.141592654
7,DN40,0.035,0.044,0.057,1.07159623,2.879793266,2.879793266,0
7,DN40,0.035,0.044,0.057,0,2.879793266,2.35619449,1.570796327
7,DN40,0.035,0.044,0.21,5.211589077,2.879793266,2.879793266,3.141592654
8,DN40,0.035,0.044,0.21,1.517579723,2.617993878,2.617993878,0
8,DN40,0.035,0.054,0.067,0,2.617993878,2.617993878,1.570796327
8,DN60,0.0575,0.056,0.074,4.890097655,2.617993878,2.617993878,3.01069296
9,DN40,0.035,0.044,0.21,1.301599323,1.832595715,1.832595715,0
9,DN40,0.035,0.054,0.067,0,1.832595715,1.832595715,1.570796327
9,DN40,0.035,0.044,0.057,4.981585985,1.832595715,1.832595715,3.141592654
10,DN40,0.035,0.044,0.21,1.570796327,1.570796327,1.570796327,0
10,DN100,0.076,0.061,0.21,0.1745329252,1.658062789,1.483529864,1.396263402
10,DN40,0.035,0.044,0.21,4.71238898,1.570796327,1.570796327,3.141592654
10,DN25,0.0275,0.024,0.036,3.141592654,1.570796327,4.71238898,1.570796327
11,DN60,0.0575,0.056,0.21,1.154631816,1.047197551,1.047197551,0
11,DN40,0.035,0.054,0.21,0,1.047197551,1.047197551,1.570796327
11,DN100,0.076,0.053,0.21,5.128553491,1.047197551,1.047197551,3.141592654
12,DN40,0.035,0.044,0.057,1.570796327,0.5235987756,0.5235987756,0
12,DN60,0.0575,0.056,0.21,0.2617993878,0.5235987756,0.5235987756,1.308996939
12,DN40,0.035,0.044,0.057,4.71238898,0.5235987756,0.5235987756,3.141592654
12,DN25,0.0275,0.024,0.036,3.141592654,0.5235987756,3.665191429,1.570796327
